t,id,x,y,z
0,0,-63.313,55.9482,19.37
0.1,0,-63.313,56.0442,19.37
0.2,0,-63.3129,56.1331,19.37
0.3,0,-63.3127,56.2147,19.37
0.4,0,-63.3125,56.2892,19.37
0.5,0,-63.3121,56.3565,19.37
0.6,0,-63.3118,56.4166,19.37
0.7,0,-63.3113,56.4694,19.3699
0.8,0,-63.3108,56.5151,19.3699
0.9,0,-63.3102,56.5535,19.3699
1,0,-63.3095,56.5847,19.3698
1.1,0,-63.3088,56.6087,19.3698
1.2,0,-63.308,56.6255,19.3698
1.3,0,-63.3071,56.635,19.3697
1.4,0,-63.3061,56.6372,19.3697
1.5,0,-63.3051,56.6322,19.3696
1.6,0,-63.304,56.62,19.3695
1.7,0,-63.3029,56.6004,19.3695
1.8,0,-63.3017,56.5735,19.3694
1.9,0,-63.3004,56.5393,19.3693
2,0,-63.299,56.4978,19.3693
2.1,0,-63.2976,56.4489,19.3692
2.2,0,-63.2961,56.3927,19.3691
2.3,0,-63.2945,56.329,19.369
2.4,0,-63.2928,56.258,19.3689
2.5,0,-63.2911,56.1796,19.3688
2.6,0,-63.2893,56.0937,19.3687
2.7,0,-63.2875,56.0003,19.3686
2.8,0,-63.2855,55.8994,19.3685
2.9,0,-63.2835,55.791,19.3684
3,0,-63.2815,55.6751,19.3683
3.1,0,-63.2793,55.5516,19.3682
3.2,0,-63.2771,55.4205,19.3681
3.3,0,-63.2748,55.2817,19.368
3.4,0,-63.2724,55.1353,19.3678
3.5,0,-63.27,54.9811,19.3677
3.6,0,-63.2675,54.8193,19.3676
3.7,0,-63.2649,54.6496,19.3674
3.8,0,-63.2623,54.4722,19.3673
3.9,0,-63.2595,54.2869,19.3671
4,0,-63.2567,54.0937,19.367
4.1,0,-63.2539,53.8925,19.3668
4.2,0,-63.2509,53.6834,19.3667
4.3,0,-63.2479,53.4663,19.3665
4.4,0,-63.2448,53.2411,19.3664
4.5,0,-63.2416,53.0077,19.3662
4.6,0,-63.2384,52.7662,19.366
4.7,0,-63.235,52.5165,19.3659
4.8,0,-63.2316,52.2585,19.3657
4.9,0,-63.2281,51.9922,19.3655
5,0,-63.2246,51.7175,19.3653
5.1,0,-63.2209,51.4344,19.3651
5.2,0,-63.2172,51.1428,19.3649
5.3,0,-63.2134,50.8426,19.3647
5.4,0,-63.2095,50.5337,19.3646
5.5,0,-63.2056,50.2162,19.3644
5.6,0,-63.2015,49.89,19.3642
5.7,0,-63.1974,49.5549,19.364
5.8,0,-63.1932,49.2109,19.3637
5.9,0,-63.1889,48.858,19.3635
6,0,-63.1845,48.4961,19.3633
6.1,0,-63.1801,48.125,19.3631
6.2,0,-63.1755,47.7448,19.3629
6.3,0,-63.1709,47.3553,19.3627
6.4,0,-63.1661,46.9565,19.3624
6.5,0,-63.1613,46.5483,19.3622
6.6,0,-63.1564,46.1305,19.362
6.7,0,-63.1514,45.7033,19.3618
6.8,0,-63.1463,45.2663,19.3615
6.9,0,-63.1411,44.8197,19.3613
7,0,-63.1359,44.3632,19.3611
7.1,0,-63.1305,43.8969,19.3608
7.2,0,-63.125,43.4205,19.3606
7.3,0,-63.1194,42.9342,19.3604
7.4,0,-63.1138,42.4376,19.3601
7.5,0,-63.108,41.9309,19.3599
7.6,0,-63.1021,41.4139,19.3597
7.7,0,-63.0961,40.8866,19.3595
7.8,0,-63.09,40.3488,19.3592
7.9,0,-63.0838,39.8005,19.359
8,0,-63.0774,39.2416,19.3588
8.1,0,-63.071,38.6721,19.3586
8.2,0,-63.0644,38.0918,19.3584
8.3,0,-63.0577,37.5008,19.3582
8.4,0,-63.0509,36.8988,19.358
8.5,0,-63.0439,36.2858,19.3578
8.6,0,-63.0368,35.6616,19.3577
8.7,0,-63.0296,35.0259,19.3575
8.8,0,-63.0222,34.3786,19.3574
8.9,0,-63.0147,33.7191,19.3573
9,0,-63.007,33.0469,19.3572
9.1,0,-62.9991,32.3611,19.3572
9.2,0,-62.9911,31.6608,19.3572
9.3,0,-62.9829,30.9447,19.3573
9.4,0,-62.9746,30.2117,19.3574
9.5,0,-62.966,29.4603,19.3575
9.6,0,-62.9573,28.6895,19.3576
9.7,0,-62.9483,27.8984,19.3578
9.8,0,-62.9392,27.0861,19.3581
9.9,0,-62.9299,26.252,19.3583
